,name,elo,games
0,Xantos1159,1264.8869544010072,124
1,SirDude48,949.0525742087019,6
2,Dïïgïï,1177.4101933684365,3
3,Tafetta,822.5898066315635,3
4,Tari,986.0,1
5,Kerwox,1014.0,1
6,draxpho,1077.3189672346816,18
7,ataru79,1105.6850241063232,80
8,Captain Tyborc,1310.288310140144,25
9,Kelorn,1266.8375992622205,43
10,Sackit26,1025.526859074747,8
11,Benk3i,986.0,1
12,Malador,1284.660434151976,41
13,KingSpAIDs,907.097989453921,43
14,DiscordedMuffins,972.4135742459031,7
15,JungleRat,958.0,1
16,dredmond85,811.9860795184518,26
17,Feruto,1126.0,1
18,danwise1990,857.5284864280009,2
19,Breaking Mind,772.1506908377154,12
20,idjmv,1082.2084006521427,1
21,Tony Cameron,851.3487713941021,14
22,JackBartlet,983.945646337349,63
23,Gilarius,1134.3131913200048,40
24,shiu_yik,1391.192183802746,35
25,Hyperspace Ninja,890.6215987455346,5
26,Laird of Dunans,1052.9856192204331,36
27,Nullican,865.93824416139,2
28,LargePackage,1250.9737463253603,39
29,Darth_Tango,810.9373833992536,31
30,Glade21,885.6050476300142,3
31,Bob,783.9449510617561,5
32,Deathwing,902.7523450350748,7
33,pwmf200,1173.4619384782043,3
34,Belisarius,993.9182267934574,29
35,munkaysteve,943.915551539296,1
36,Valadian,983.5714181054597,15
37,jrbushman,1042.0,1
38,Cylindrical Bobcat,1126.8164161021703,36
39,Doctor_Murderblood,1004.4310719575351,2
40,matt_corp,991.5154788052822,4
41,Murcanic,1303.2079664373452,44
42,BigloveWar,843.8073585576531,7
43,Irishmadcat,1204.799158076334,29
44,nickopaniz,1082.2735696183254,30
45,artamir73,892.6126186973997,9
46,Jeffles,1045.4441306542715,2
47,alexanderyeolht,1000.0490533157943,25
48,darkserpent3703,1060.813155621399,7
49,pinturicchio,975.827561443592,22
50,sam.simon,1267.9584322952355,14
51,331999,1114.211495813834,48
52,InRobWeTrust,1017.6457730337024,9
53,Titan,954.4127049425716,4
54,benrjamin2,890.7073678180645,30
55,jaypalmany,1385.1095190849906,10
56,teeseeuu,1183.2174814552873,39
57,mstubbs,886.289288281022,40
58,Player 1,1143.201065730052,3
59,Player 2,856.798934269948,3
60,Roquax,1179.7542945858302,10
61,LUKEOUT99,1063.9763928116226,31
62,Fox8820,949.0551358595969,1
63,russellbanks77,1102.9153948348087,40
64,gorgonshead,1045.4679931240294,1
65,phillip.gales,984.5189140026866,3
66,ArtemisSiri,1355.648561185095,22
67,Midnight,1214.1268281324196,8
68,SnakeChomp,980.1559643948191,7
69,Belryan,939.14452816099,5
70,Paulie Walnuts,937.5138122178871,5
71,CaptSky,1104.4244111236867,9
72,AdmiralSteve,771.232576290836,5
73,Dirk Lightning,1119.0932582772243,5
74,Shaemas,779.0930576005895,3
75,Teh HOBO,973.6318743693706,12
76,MItthraw,894.7747288511184,28
77,nikheizen,912.538176452193,10
78,evulfuson,798.9913819892669,7
79,kospauste,693.9964777180976,5
80,VeloAcier,1025.7149623663638,12
81,Uncrustable,1121.8270878863261,17
82,Tuff Bastard,906.9465156509425,4
83,malgrimx,994.5104241830187,6
84,philbrereton,841.3521753748189,1
85,christoph,1070.0,1
86,GeG,945.5843167144407,2
87,Rastahotep,878.6784212135651,6
88,majoturc,1007.5045015471135,11
89,tagtwo,1070.0,1
90,patrickryandoupe,1019.7460429109226,21
91,doupedj,1093.6666748922064,31
92,Akhrin,1066.6970021532434,4
93,lord shockwave,1063.348819110507,2
94,Nevole,1213.5245910595572,12
95,Arthur,1018.4736063979176,3
96,J Desu,1110.1066070116851,10
97,Armadness,925.9721823640454,4
98,kingofthenerds01,906.6869157313884,2
99,ORJ Bill,1152.8538474361412,14
100,kinger3914,1020.8936788162428,9
101,Ryan,761.8276081275638,24
102,Battlefleet Studios,842.6544541195957,3
103,ross tole,1036.351816541679,10
104,liggur,808.9188538292348,2
105,<ToT>,986.0,1
106,Agamemnon,1014.0,1
107,Tytan,848.4474939228226,1
108,homedrone,1185.051996629014,5
109,ShadowLordRegulus,811.0402693977047,6
110,xpectorate,912.6601562339756,5
111,ManBearPig,1042.0,1
112,Djaa9,958.0,1
113,HokieBirdOfDoom,986.0,1
114,LikeFrogs,1014.0,1
115,Diamond227,935.7156043416312,5
116,EliteOne,1009.7772245328547,40
117,aat niehot,1252.149863092579,8
